index,path,filename,label,split
0,data\raw\daisee\train\110001\1100011002\1100011002.npz,1100011002.npz,0,train
1,data\raw\daisee\train\110001\1100011003\1100011003.npz,1100011003.npz,0,train
2,data\raw\daisee\train\110001\1100011004\1100011004.npz,1100011004.npz,0,val
3,data\raw\daisee\train\110001\1100011005\1100011005.npz,1100011005.npz,0,test
4,data\raw\daisee\train\110001\1100011006\1100011006.npz,1100011006.npz,0,val
5,data\raw\daisee\train\110001\1100011007\1100011007.npz,1100011007.npz,0,test
6,data\raw\daisee\train\110001\1100011008\1100011008.npz,1100011008.npz,0,train
7,data\raw\daisee\train\110001\1100011009\1100011009.npz,1100011009.npz,0,train
8,data\raw\daisee\train\110001\1100011010\1100011010.npz,1100011010.npz,0,train
9,data\raw\daisee\train\110001\1100011011\1100011011.npz,1100011011.npz,0,val
10,data\raw\daisee\train\110001\1100011012\1100011012.npz,1100011012.npz,0,train
11,data\raw\daisee\train\110001\1100011013\1100011013.npz,1100011013.npz,0,train
12,data\raw\daisee\train\110001\1100011014\1100011014.npz,1100011014.npz,0,val
13,data\raw\daisee\train\110001\1100011015\1100011015.npz,1100011015.npz,0,train
14,data\raw\daisee\train\110001\1100011016\1100011016.npz,1100011016.npz,0,val
15,data\raw\daisee\train\110001\1100011017\1100011017.npz,1100011017.npz,0,val
16,data\raw\daisee\train\110001\1100011018\1100011018.npz,1100011018.npz,0,train
17,data\raw\daisee\train\110001\1100011019\1100011019.npz,1100011019.npz,0,train
18,data\raw\daisee\train\110001\1100011020\1100011020.npz,1100011020.npz,0,val
19,data\raw\daisee\train\110001\1100011021\1100011021.npz,1100011021.npz,0,train
20,data\raw\daisee\train\110001\1100011022\1100011022.npz,1100011022.npz,0,train
21,data\raw\daisee\train\110001\1100011023\1100011023.npz,1100011023.npz,0,train
22,data\raw\daisee\train\110001\1100011025\1100011025.npz,1100011025.npz,0,test
23,data\raw\daisee\train\110001\1100011026\1100011026.npz,1100011026.npz,0,train
24,data\raw\daisee\train\110001\1100011027\1100011027.npz,1100011027.npz,0,train
25,data\raw\daisee\train\110001\1100011028\1100011028.npz,1100011028.npz,0,train
26,data\raw\daisee\train\110001\1100011029\1100011029.npz,1100011029.npz,0,test
27,data\raw\daisee\train\110001\1100011031\1100011031.npz,1100011031.npz,0,train
28,data\raw\daisee\train\110001\1100011032\1100011032.npz,1100011032.npz,0,val
29,data\raw\daisee\train\110001\1100011034\1100011034.npz,1100011034.npz,0,val
30,data\raw\daisee\train\110001\1100011035\1100011035.npz,1100011035.npz,0,train
31,data\raw\daisee\train\110001\1100011037\1100011037.npz,1100011037.npz,0,train
32,data\raw\daisee\train\110001\1100011038\1100011038.npz,1100011038.npz,0,train
33,data\raw\daisee\train\110001\1100011040\1100011040.npz,1100011040.npz,0,train
34,data\raw\daisee\train\110001\1100011046\1100011046.npz,1100011046.npz,0,train
35,data\raw\daisee\train\110001\1100011047\1100011047.npz,1100011047.npz,0,test
36,data\raw\daisee\train\110001\1100011048\1100011048.npz,1100011048.npz,0,train
37,data\raw\daisee\train\110001\1100011049\1100011049.npz,1100011049.npz,0,train
38,data\raw\daisee\train\110001\1100011050\1100011050.npz,1100011050.npz,0,train
39,data\raw\daisee\train\110001\1100011051\1100011051.npz,1100011051.npz,0,train
40,data\raw\daisee\train\110001\1100011052\1100011052.npz,1100011052.npz,0,train
41,data\raw\daisee\train\110001\1100011053\1100011053.npz,1100011053.npz,0,test
42,data\raw\daisee\train\110001\1100011054\1100011054.npz,1100011054.npz,0,train
43,data\raw\daisee\train\110001\1100011055\1100011055.npz,1100011055.npz,0,test
44,data\raw\daisee\train\110001\1100011056\1100011056.npz,1100011056.npz,0,train
45,data\raw\daisee\train\110001\1100011057\1100011057.npz,1100011057.npz,0,val
46,data\raw\daisee\train\110001\1100011058\1100011058.npz,1100011058.npz,0,val
47,data\raw\daisee\train\110001\1100011059\1100011059.npz,1100011059.npz,0,train
48,data\raw\daisee\train\110001\1100011060\1100011060.npz,1100011060.npz,0,train
49,data\raw\daisee\train\110001\1100011062\1100011062.npz,1100011062.npz,0,val
50,data\raw\daisee\train\110001\1100011063\1100011063.npz,1100011063.npz,0,train
51,data\raw\daisee\train\110001\1100011064\1100011064.npz,1100011064.npz,0,train
52,data\raw\daisee\train\110001\1100011066\1100011066.npz,1100011066.npz,0,train
53,data\raw\daisee\train\110001\1100011067\1100011067.npz,1100011067.npz,0,test
54,data\raw\daisee\train\110001\1100011068\1100011068.npz,1100011068.npz,0,train
55,data\raw\daisee\train\110001\1100011069\1100011069.npz,1100011069.npz,0,test
56,data\raw\daisee\train\110001\1100011070\1100011070.npz,1100011070.npz,0,train
57,data\raw\daisee\train\110001\1100011071\1100011071.npz,1100011071.npz,0,train
58,data\raw\daisee\train\110001\1100011072\1100011072.npz,1100011072.npz,0,train
59,data\raw\daisee\train\110001\1100011073\1100011073.npz,1100011073.npz,0,val
60,data\raw\daisee\train\110001\1100011075\1100011075.npz,1100011075.npz,0,test
61,data\raw\daisee\train\110001\1100011076\1100011076.npz,1100011076.npz,0,val
62,data\raw\daisee\train\110001\1100011078\1100011078.npz,1100011078.npz,0,train
63,data\raw\daisee\train\110001\1100011079\1100011079.npz,1100011079.npz,0,train
64,data\raw\daisee\train\110001\1100011080\1100011080.npz,1100011080.npz,0,test
65,data\raw\daisee\train\110001\1100011081\1100011081.npz,1100011081.npz,0,train
66,data\raw\daisee\train\110001\1100011082\1100011082.npz,1100011082.npz,0,train
67,data\raw\daisee\train\110001\1100011083\1100011083.npz,1100011083.npz,0,test
68,data\raw\daisee\train\110001\1100012001\1100012001.npz,1100012001.npz,0,train
69,data\raw\daisee\train\110001\1100012003\1100012003.npz,1100012003.npz,0,train
70,data\raw\daisee\train\110001\1100012007\1100012007.npz,1100012007.npz,0,train
71,data\raw\daisee\train\110001\1100012008\1100012008.npz,1100012008.npz,0,val
72,data\raw\daisee\train\110001\1100012009\1100012009.npz,1100012009.npz,0,train
73,data\raw\daisee\train\110001\1100012010\1100012010.npz,1100012010.npz,0,train
74,data\raw\daisee\train\110001\1100012011\1100012011.npz,1100012011.npz,0,train
75,data\raw\daisee\train\110001\1100012013\1100012013.npz,1100012013.npz,0,val
76,data\raw\daisee\train\110001\1100012014\1100012014.npz,1100012014.npz,0,train
77,data\raw\daisee\train\110001\1100012015\1100012015.npz,1100012015.npz,0,train
78,data\raw\daisee\train\110001\1100012016\1100012016.npz,1100012016.npz,0,val
79,data\raw\daisee\train\110001\1100012017\1100012017.npz,1100012017.npz,0,val
80,data\raw\daisee\train\110001\1100012018\1100012018.npz,1100012018.npz,0,train
81,data\raw\daisee\train\110001\1100012021\1100012021.npz,1100012021.npz,0,val
82,data\raw\daisee\train\110001\1100012022\1100012022.npz,1100012022.npz,0,train
83,data\raw\daisee\train\110001\1100012023\1100012023.npz,1100012023.npz,0,test
84,data\raw\daisee\train\110001\1100012025\1100012025.npz,1100012025.npz,0,train
85,data\raw\daisee\train\110001\1100012026\1100012026.npz,1100012026.npz,0,train
86,data\raw\daisee\train\110001\1100012027\1100012027.npz,1100012027.npz,0,train
87,data\raw\daisee\train\110001\1100012028\1100012028.npz,1100012028.npz,0,test
88,data\raw\daisee\train\110001\1100012030\1100012030.npz,1100012030.npz,0,train
89,data\raw\daisee\train\110001\1100012031\1100012031.npz,1100012031.npz,0,train
90,data\raw\daisee\train\110001\1100012032\1100012032.npz,1100012032.npz,0,train
91,data\raw\daisee\train\110001\1100012033\1100012033.npz,1100012033.npz,0,train
92,data\raw\daisee\train\110001\1100012036\1100012036.npz,1100012036.npz,0,train
93,data\raw\daisee\train\110001\1100012037\1100012037.npz,1100012037.npz,0,test
94,data\raw\daisee\train\110001\1100012038\1100012038.npz,1100012038.npz,0,test
95,data\raw\daisee\train\110001\1100012041\1100012041.npz,1100012041.npz,0,train
96,data\raw\daisee\train\110001\1100012042\1100012042.npz,1100012042.npz,0,train
97,data\raw\daisee\train\110001\1100012045\1100012045.npz,1100012045.npz,0,val
98,data\raw\daisee\train\110001\1100012046\1100012046.npz,1100012046.npz,0,train
99,data\raw\daisee\train\110001\1100012047\1100012047.npz,1100012047.npz,0,train
100,data\raw\daisee\train\110001\1100012049\1100012049.npz,1100012049.npz,0,train
101,data\raw\daisee\train\110001\1100012050\1100012050.npz,1100012050.npz,0,train
102,data\raw\daisee\train\110001\1100012051\1100012051.npz,1100012051.npz,0,train
103,data\raw\daisee\train\110001\1100012052\1100012052.npz,1100012052.npz,0,test
104,data\raw\daisee\train\110001\1100012057\1100012057.npz,1100012057.npz,0,train
105,data\raw\daisee\train\110001\1100012059\1100012059.npz,1100012059.npz,0,train
106,data\raw\daisee\train\110001\1100012060\1100012060.npz,1100012060.npz,0,train
107,data\raw\daisee\train\110001\1100012061\1100012061.npz,1100012061.npz,0,val
108,data\raw\daisee\train\110001\1100012062\1100012062.npz,1100012062.npz,0,train
109,data\raw\daisee\train\110001\1100012063\1100012063.npz,1100012063.npz,0,test
110,data\raw\daisee\train\110001\1100012064\1100012064.npz,1100012064.npz,0,train
111,data\raw\daisee\train\110001\1100012065\1100012065.npz,1100012065.npz,0,val
112,data\raw\daisee\train\110001\1100012066\1100012066.npz,1100012066.npz,0,train
113,data\raw\daisee\train\110001\1100012069\1100012069.npz,1100012069.npz,0,test
114,data\raw\daisee\train\110002\1100021001\1100021001.npz,1100021001.npz,0,val
115,data\raw\daisee\train\110002\1100021015\1100021015.npz,1100021015.npz,1,train
116,data\raw\daisee\train\110002\1100021038\1100021038.npz,1100021038.npz,0,train
117,data\raw\daisee\train\110002\1100021039\1100021039.npz,1100021039.npz,0,train
118,data\raw\daisee\train\110002\1100021040\1100021040.npz,1100021040.npz,0,train
119,data\raw\daisee\train\110002\1100021045\1100021045.npz,1100021045.npz,0,train
120,data\raw\daisee\train\110002\1100021050\1100021050.npz,1100021050.npz,0,test
121,data\raw\daisee\train\110002\1100021055\1100021055.npz,1100021055.npz,1,train
122,data\raw\daisee\train\110002\1100022001\1100022001.npz,1100022001.npz,1,train
123,data\raw\daisee\train\110002\1100022002\1100022002.npz,1100022002.npz,1,val
124,data\raw\daisee\train\110002\1100022003\1100022003.npz,1100022003.npz,1,train
125,data\raw\daisee\train\110002\1100022004\1100022004.npz,1100022004.npz,1,test
126,data\raw\daisee\train\110002\1100022005\1100022005.npz,1100022005.npz,1,train
127,data\raw\daisee\train\110002\1100022008\1100022008.npz,1100022008.npz,1,train
128,data\raw\daisee\train\110002\1100022009\1100022009.npz,1100022009.npz,1,train
129,data\raw\daisee\train\110002\1100022014\1100022014.npz,1100022014.npz,0,test
130,data\raw\daisee\train\110002\1100022019\1100022019.npz,1100022019.npz,0,train
131,data\raw\daisee\train\110002\1100022020\1100022020.npz,1100022020.npz,0,train
132,data\raw\daisee\train\110002\1100022021\1100022021.npz,1100022021.npz,0,train
133,data\raw\daisee\train\110002\1100022022\1100022022.npz,1100022022.npz,1,train
134,data\raw\daisee\train\110002\1100022026\1100022026.npz,1100022026.npz,0,train
